symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AAPL,2023-12-08 05:00:00+00:00,194.2,195.99,193.67,195.71,53406358.0,538969.0,195.1631,67.74707759463885,0
AAPL,2023-12-11 05:00:00+00:00,193.11,193.49,191.42,193.18,60952756.0,691291.0,192.690089,55.47184266461492,0
AAPL,2023-12-12 05:00:00+00:00,193.08,194.72,191.721,194.71,52704312.0,510922.0,193.712615,60.17171872512321,0
AAPL,2023-12-13 05:00:00+00:00,195.09,198.0,194.85,197.96,70422443.0,672723.0,196.884059,67.91794924435938,2
AAPL,2023-12-14 05:00:00+00:00,198.02,199.62,196.16,198.11,66836850.0,691952.0,198.298267,68.22511683780655,1
AAPL,2023-12-15 05:00:00+00:00,197.53,198.3999,197.0,197.57,128538401.0,625454.0,197.573249,65.78328357583919,2
AAPL,2023-12-18 05:00:00+00:00,196.09,196.63,194.39,195.89,55755354.0,655820.0,195.532766,58.739555549105,1
AAPL,2023-12-19 05:00:00+00:00,196.16,196.95,195.89,196.94,40717190.0,451795.0,196.531773,61.51327593191931,2
AAPL,2023-12-20 05:00:00+00:00,196.9,197.68,194.83,194.83,52247140.0,550700.0,196.221545,53.70082074644689,1
AAPL,2023-12-21 05:00:00+00:00,196.1,197.08,193.5,194.68,46485784.0,554963.0,194.733112,53.18370146662518,1
AAPL,2023-12-22 05:00:00+00:00,195.18,195.41,192.97,193.6,37149570.0,500544.0,194.099383,49.4885541917626,1
AAPL,2023-12-26 05:00:00+00:00,193.61,193.89,192.83,193.05,28921648.0,488340.0,193.170805,47.67203294304231,1
AAPL,2023-12-27 05:00:00+00:00,192.49,193.5,191.09,193.15,48092035.0,548205.0,192.535582,48.045439026809206,2
AAPL,2023-12-28 05:00:00+00:00,194.14,194.66,193.17,193.58,34056639.0,472490.0,193.925614,49.70734048084479,2
AAPL,2023-12-29 05:00:00+00:00,193.9,194.4,191.725,192.53,42672148.0,509123.0,192.577019,45.85050397628665,2
AAPL,2024-01-02 05:00:00+00:00,187.15,188.44,183.885,185.64,82496943.0,1009074.0,185.846233,29.61327904843739,2
AAPL,2024-01-03 05:00:00+00:00,184.22,185.88,183.43,184.25,58418916.0,656956.0,184.319693,27.49763184641353,1
AAPL,2024-01-04 05:00:00+00:00,182.15,183.0872,180.88,181.91,71992243.0,712850.0,182.013085,24.344492172504346,0
AAPL,2024-01-05 05:00:00+00:00,181.99,182.76,180.17,181.18,62379661.0,682335.0,181.483937,23.44141788123657,0
AAPL,2024-01-08 05:00:00+00:00,182.085,185.6,181.5,185.56,59151720.0,669304.0,184.400869,38.24401024489744,1
AAPL,2024-01-09 05:00:00+00:00,183.92,185.15,182.73,185.14,42848219.0,538297.0,184.364122,37.49535608239266,1
